批id, 次id, 异常数量, 总数,
1606705116,1606705123,0,0,
1606706229,1606706233,0,0,
1606706229,1606706262,0,0,
1606706264,1606706267,0,0,
1606706264,1606706271,0,0,
1606706264,1606706275,0,0,
1606706298,1606706301,0,0,
1606706317,1606706331,0,0,
1606706399,1606706425,0,0,
1606706399,1606706428,0,0,
1606707097,1606707105,0,0,
1606707097,1606707109,0,0,
1606736866,1606736885,0,0,
1606737711,1606737802,0,0,
1606737711,1606737809,0,0,
1606737711,1606737814,0,0,
1606737711,1606737821,0,0,
1606737915,1606737922,0,0,
1606738721,1606738734,0,0,
1606740524,1606740739,0,0,
1606740741,1606740769,0,0,
1606740771,1606741638,0,0,
1606741640,1606741699,0,0,
1606741640,1606741711,0,0,
