批id, 次id, 异常数量, 总数,
x,1606286651,0,0,
x,1606286653,0,0,
x,1606286654,0,0,
x,1606288513,0,0,
x,1606288537,0,0,
x,1606288546,0,0,
x,1606288566,0,0,
x,1606288701,0,0,
x,1606288910,0,0,
x,1606289212,0,0,
x,1606289242,0,0,
x,1606290135,0,0,
x,1606290871,0,0,
x,1606290908,0,0,
x,1606290959,0,0,
x,1606291071,0,0,
x,1606291180,0,0,
x,1606291230,0,0,
x,1606291902,0,0,
x,1606291936,0,0,
x,1606291938,0,0,
x,1606291939,0,0,
x,1606291967,0,0,
x,1606291972,0,0,
x,1606291976,0,0,
x,1606292537,0,0,
x,1606292624,0,0,
x,1606292630,0,0,
x,1606292639,0,0,
x,1606292641,0,0,
x,1606292671,0,0,
x,1606292681,0,0,
x,1606292721,0,0,
x,1606293150,0,0,
x,1606293162,0,0,
x,1606293164,0,0,
x,1606293242,0,0,
x,1606293310,0,0,
x,1606293354,0,0,
x,1606293721,0,0,
x,1606293724,0,0,
x,1606293749,0,0,
x,1606293771,0,0,
x,1606294462,0,0,
x,1606294535,0,0,
x,1606294943,0,0,
x,1606295313,0,0,
x,1606295315,0,0,
x,1606295359,0,0,
x,1606295908,0,0,
x,1606296812,0,0,
x,1606296987,0,0,
x,1606297030,0,0,
x,1606297253,0,0,
x,1606297284,0,0,
x,1606297286,0,0,
x,1606297288,0,0,
x,1606297291,0,0,
x,1606297295,0,0,
x,1606297335,0,0,
x,1606297337,0,0,
