批id, 次id, 异常数量, 总数,
1606630441,1606630445,0,0,
1606630535,1606630542,0,0,
1606630574,1606630576,0,0,
1606630623,1606630628,0,0,
1606630951,1606630955,0,0,
1606635824,1606635827,0,0,
1606635844,1606635855,0,0,
1606635953,1606635956,0,0,
1606636141,1606636148,0,0,
1606636141,1606636152,0,0,
1606636141,1606636155,0,0,
1606636228,1606636233,0,0,
1606636241,1606636252,0,0,
1606651380,1606651384,0,0,
1606651380,1606651397,0,0,
1606651380,1606651487,0,0,
1606651380,1606651565,0,0,
1606651565,1606651566,0,0,
1606651566,1606651567,0,0,
1606651567,1606651576,0,0,
1606651576,1606651578,0,0,
1606651578,1606651579,0,0,
1606651579,1606651580,0,0,
1606651580,1606651591,0,0,
1606651591,1606651594,0,0,
1606651594,1606651596,0,0,
1606651596,1606651598,0,0,
1606651970,1606651974,0,0,
1606651970,1606651996,0,0,
1606652167,1606652173,0,0,
1606652264,1606652273,0,0,
1606652264,1606652351,0,0,
1606652384,1606652509,0,0,
1606652535,1606652541,0,0,
1606652535,1606652544,0,0,
1606652599,1606652603,0,0,
1606652762,1606652766,0,0,
1606653096,1606653098,0,0,
1606653096,1606653156,0,0,
1606653096,1606653170,0,0,
1606653859,1606653865,0,0,
1606653859,1606653867,0,0,
1606653918,1606653921,0,0,
1606653973,1606653975,0,0,
1606654506,1606654514,0,0,
1606654506,1606654542,0,0,
1606654506,1606655268,0,15,
1606654506,1606655275,0,0,
1606654506,1606655314,0,0,
1606655443,1606655448,0,0,
1606655443,1606655451,0,0,
1606655443,1606655455,0,0,
1606655443,1606655458,0,0,
1606655443,1606655475,0,0,
1606655443,1606696823,0,0,
1606655443,1606696827,0,0,
