批id, 次id, 异常数量, 总数,
1606787424,1606787426,0,0,
1606787424,1606787427,0,0,
1606787502,1606787520,0,0,
1606787502,1606787679,0,0,
1606787682,1606787691,0,0,
1606787682,1606788560,0,0,
1606788560,1606788570,0,0,
1606788635,1606788643,0,0,
1606788644,1606788650,0,0,
1606788644,1606788657,0,0,
1606788659,1606788666,0,0,
1606788659,1606788670,0,0,
1606788799,1606789008,0,0,
1606789609,1606789614,0,0,
1606789669,1606789887,0,0,
1606789669,1606789895,0,0,
1606789669,1606789899,0,0,
1606789669,1606789926,0,100,
1606789994,1606789998,0,0,
1606789994,1606790155,0,0,
1606789994,1606790185,0,0,
1606789994,1606790195,0,0,
1606789994,1606790209,0,0,
1606789994,1606790250,0,0,
1606789994,1606790252,0,0,
1606789994,1606790272,0,0,
1606790275,1606790278,0,0,
1606790275,1606790298,0,0,
1606790275,1606790350,0,0,
1606790352,1606790355,0,0,
1606790352,1606790435,0,0,
1606790437,1606790442,0,34,
1606790437,1606790449,0,61,
1606790437,1606790450,0,1,
1606790450,1606790451,0,0,
1606790451,1606790454,0,14,
1606790451,1606790457,0,14,
1606790451,1606790459,0,15,
1606790451,1606790464,0,14,
1606790451,1606790468,0,37,
1606790451,1606790519,0,46,
1606790451,1606790520,0,9,
1606790451,1606790522,0,4,
1606790451,1606790527,0,44,
1606790451,1606790530,0,21,
1606790451,1606790533,0,4,
1606790451,1606790543,0,1,
1606790603,1606790612,0,0,
1606790603,1606790615,0,0,
1606790615,1606790619,0,0,
1606790615,1606790640,0,0,
1606790643,1606790645,0,0,
1606790643,1606790647,0,0,
1606790643,1606790648,0,0,
1606790648,1606790654,0,0,
1606790648,1606790672,0,0,
1606790672,1606790677,0,0,
1606790680,1606790682,0,0,
1606790680,1606790683,0,0,
1606790817,1606790821,0,0,
1606790817,1606790823,0,0,
1606790817,1606790828,0,0,
1606790817,1606790830,0,0,
1606790830,1606790869,0,0,
1606790947,1606790953,0,0,
1606790947,1606790968,0,0,
1606790947,1606790974,0,0,
1606791058,1606791070,19,0,
1606791058,1606791162,20,0,
1606791058,1606791555,0,0,
1606791557,1606791566,17,0,
1606791557,1606791673,0,0,
1606791676,1606791680,7,0,
1606791676,1606791709,0,0,
1606791711,1606791716,10,0,
1606791711,1606791760,0,0,
1606791762,1606791765,4,0,
1606791762,1606791799,20,0,
1606791762,1606791894,0,0,
1606791896,1606791924,0,0,
1606792881,1606792886,7,0,
1606792881,1606792893,0,0,
1606792893,1606792913,20,0,
1606792928,1606792932,0,0,
1606792928,1606797112,0,0,
1606801022,1606801028,8,0,
1606814144,1606814152,18,0,
1606814144,1606814154,5,0,
1606814144,1606814285,0,0,
1606814287,1606814293,11,0,
1606814287,1606816716,0,0,
1606816718,1606816722,10,0,
1606816718,1606816726,0,0,
1606816727,1606816758,20,0,
1606816773,1606816777,0,0,
1606816777,1606816785,0,0,
1606816785,1606816792,0,0,
1606816792,1606816800,8,0,
1606816800,1606816920,7,0,
1606816987,1606816993,0,0,
1606816993,1606816997,0,0,
1606816998,1606817004,11,0,
1606817005,1606817125,5,0,
1606817005,1606817133,0,0,
1606836469,1606836473,0,0,
1606836469,1606839140,0,0,
