批id, 次id, 异常数量, 总数,
1606839148,1606839157,0,0,
1606839148,1606839163,0,0,
1606839163,1606839170,0,0,
1606839163,1606839192,0,0,
1606868946,1606868958,0,0,
1606869424,1606869427,3,0,
1606869440,1606869604,0,0,
1606869606,1606869645,0,0,
1606869606,1606870564,0,0,
1606870566,1606870671,0,0,
1606870676,1606870687,0,0,
1606870676,1606870745,0,0,
1606870745,1606871599,0,0,
1606871601,1606871639,0,0,
1606871641,1606871655,0,0,
1606871641,1606871706,0,0,
1606871708,1606871764,0,0,
1606871843,1606871851,0,0,
1606872158,1606872220,0,0,
1606872524,1606872530,0,0,
1606872709,1606872718,1,0,
1606872709,1606872736,1,0,
1606872709,1606872774,0,0,
1606873553,1606873577,0,0,
1606874166,1606875795,0,0,
1606876038,1606876079,0,0,
1606876082,1606876178,0,0,
1606876499,1606876681,0,0,
1606876687,1606876690,0,0,
1606876690,1606876704,0,0,
1606876706,1606876735,18,0,
1606876706,1606877005,0,0,
1606877007,1606877074,0,0,
1606877076,1606877172,12,0,
1606877076,1606878481,10,0,
1606877076,1606878507,11,0,
1606877076,1606878530,19,0,
1606877076,1606878607,20,0,
1606877076,1606878709,14,0,
1606878723,1606878914,11,0,
1606881560,1606881729,0,0,
1606881731,1606881835,0,0,
1606881899,1606881917,0,0,
1606881920,1606881951,0,0,
1606881951,1606881957,0,0,
1606881962,1606881977,14,0,
1606881962,1606881984,0,0,
1606882420,1606882456,0,0,
1606882458,1606882481,0,0,
1606882527,1606882560,0,0,
1606882598,1606882742,0,0,
1606882766,1606886127,0,0,
1606886158,1606886165,6,0,
1606886158,1606886215,6,0,
1606886378,1606886386,0,0,
1606886386,1606886397,15,0,
1606886397,1606886712,4,0,
1606886986,1606886991,0,0,
1606886992,1606886996,9,0,
1606886992,1606887003,8,0,
1606887018,1606887035,10,0,
1606887052,1606887641,0,0,
1606887644,1606887650,9,0,
1606887651,1606887686,0,0,
1606887702,1606887707,7,0,
1606887707,1606887797,0,0,
1606887800,1606887805,7,0,
1606887806,1606887918,0,0,
1606887921,1606887926,6,0,
1606888319,1606888325,9,0,
1606888325,1606888365,0,0,
1606888367,1606888371,2,0,
1606888367,1606888375,11,0,
1606890587,1606890594,15,0,
1606890626,1606890632,0,0,
1606890632,1606890639,14,0,
1606890653,1606890660,13,0,
1606890660,1606890724,0,0,
1606890726,1606890732,10,0,
1606890778,1606890783,6,0,
1606890784,1606890935,0,0,
1606890937,1606890953,20,0,
1606890937,1606890971,5,0,
1606891032,1606891044,14,0,
1606891045,1606891070,0,0,
1606891073,1606891078,10,0,
1606891079,1606891107,0,0,
1606891626,1606891634,10,0,
1606891648,1606891652,4,0,
1606891648,1606891657,0,0,
1606891742,1606891751,0,0,
1606891752,1606891757,0,0,
1606891887,1606891894,0,0,
1606891894,1606891900,0,0,
1606891903,1606891911,10,0,
1606891911,1606891917,6,0,
1606894678,1606895066,0,0,
