批id, 次id, 异常数量, 总数,
1607303061,1607303093,0,0,
1607303094,1607303095,0,0,
1607303094,1607303097,1,0,
1607303094,1607303126,0,0,
1607303094,1607303138,1,0,
1607303196,1607303197,0,0,
1607303227,1607303228,0,0,
1607303227,1607303233,1,0,
1607303227,1607303236,0,0,
1607303316,1607303318,0,0,
1607303316,1607303333,1,0,
1607303349,1607303350,0,0,
1607303349,1607303351,1,0,
1607303349,1607303353,0,0,
1607303349,1607303354,1,0,
1607303349,1607303356,0,0,
1607303349,1607303358,1,0,
1607303349,1607303360,0,0,
1607303349,1607303362,1,0,
1607303349,1607303363,0,0,
1607303349,1607303365,1,0,
1607303349,1607303376,0,0,
1607303373,1607303378,0,0,
1607303373,1607303378,1,0,
1607303373,1607303390,0,0,
1607303373,1607303399,1,0,
1607303451,1607303452,0,0,
1607303451,1607303453,1,0,
1607303576,1607303588,0,0,
1607303576,1607303599,1,0,
1607303599,1607303604,1,0,
1607303604,1607303633,1,0,
1607304078,1607304079,0,0,
1607304078,1607304081,1,0,
1607304078,1607304086,0,0,
1607304078,1607304089,1,0,
1607304078,1607304095,0,0,
1607304078,1607304097,1,0,
1607304078,1607304101,0,0,
1607304078,1607304107,1,0,
1607310235,1607310246,0,0,
1607310235,1607310249,1,0,
