批id, 次id, 异常数量, 总数,
1607011289,1607011327,0,0,
1607011200,1607011387,0,0,
1607011411,1607011413,0,0,
1607011527,1607011530,0,0,
1607011527,1607011534,0,0,
1607011411,1607011542,176,0,
1607011580,1607011582,0,0,
1607011580,1607011706,919,0,
1607011710,1607011713,0,0,
1607011710,1607011747,242,0,
1607011747,1607011753,49,0,
1607011747,1607011758,0,0,
1607011758,1607011762,0,0,
1607011758,1607011773,85,0,
1607011758,1607011775,0,0,
1607011758,1607011777,11,0,
1607011758,1607011778,0,0,
1607011758,1607011805,197,0,
1607011758,1607011849,1,0,
1607011849,1607011852,0,0,
1607011849,1607011857,34,0,
1607011862,1607011871,0,0,
1607011862,1607011953,611,0,
1607011862,1607011956,0,0,
1607011862,1607011986,211,0,
1607011862,1607011988,0,0,
1607012719,1607012723,0,0,
